error message    voting location             row data               
wrong cnp format, iasi_sectia1, Mihai Sebastian, 189090034, Wed Jul 10 14:58:00 EEST 2019
duplicate cnp, iasi_sectia1, Ion Pavel, 1890910100034, wrong data format
wrong data format, iasi_sectia1, Ion Pavel, 1890910100034, wrong data format
wrong cnp format, iasi_sectia1, Catalin Dimitrie, 1890100034, wrong data format
wrong data format, iasi_sectia1, Catalin Dimitrie, 1890100034, wrong data format
wrong cnp format, iasi_sectia1, Marcel, 189100034, wrong data format
invalid name, iasi_sectia1, Marcel, 189100034, wrong data format
wrong data format, iasi_sectia1, Marcel, 189100034, wrong data format
wrong cnp format, iasi_sectia1, Ab Ion, 189100034, wrong data format
invalid name, iasi_sectia1, Ab Ion, 189100034, wrong data format
wrong data format, iasi_sectia1, Ab Ion, 189100034, wrong data format
duplicate cnp, iasi_sectia1, Mircea Matei, 1900309090034, Wed Jul 11 14:58:00 EEST 2012
